author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
" ""Amanda S. Lynnes"" ""K. Reid"" ""J. P. Croxall""","Polar Biology keywords [1] ""https://doi.org/10.1007/s00300-004-0617-1"" pages [1] ""544--554""",10.1007/s00300-004-0617-1,Diet and reproductive success of Adélie and chinstrap penguins: Linking response of predators to prey population dynamics,,,,https://doi.org/10.1007/s00300-004-0617-1,2004,article,
" ""Andrzej Myrcha"" ""Andrzej Tatur"" ""Rodolfo del Valle""","Polish Polar Research number [1] ""4"" pages [1] ""411--422""",,Numbers of Adélie penguins breeding at Hope Bay and Seymour Island rookeries (West Antarctica) in 1985,,,,,1987,article,
" ""Barbara Wienecke""","Polar Biology number [1] ""9"" pages [1] ""1289--1296""",10.1007/s00300-012-1172-9,Emperor penguins at the West Ice Shelf,,,,https://doi.org/10.1007/s00300-012-1172-9,2012,article,
" ""Bolesław Jabłoński""","Polish Polar Research number [1] ""1--2"" pages [1] ""17--30""",,Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*),,,,,1984,article,
" ""Bolesław Jabłoński""","Polish Polar Research number [1] ""1--2"" pages [1] ""5--16""",,"Distribution, number and breeding preferences of penguins in the region of the Admiralty Bay (King George Islands, South Shetland Islands in the season 1979/80*)",,,,,1984,article,
" ""C. A. Aguirre""","Marine Ornithology number [1] ""1"" pages [1] ""23--31""",,"Distribution and abundance of birds at Potter Peninsula, 25 de Mayo (King George) Island, South Shetland Islands, Antarctica",,,,http://marineornithology.org/PDF/23_1/MO_1995_04.pdf,1995,article,
" ""C. A. Aguirre"" ""J. M. Acero""","Marine Ornithology number [1] ""2"" pages [1] ""129--134""",,"Distribution and abundance of birds in the Errera Channel, Antarctic Peninsula, during the 1992/93 breeding season",,,,http://marineornithology.org/PDF/23_2/23_2_5.pdf,1995,article,
" ""C. J. R. Robertson"" ""J. R. Gilbert"" ""A. W. Erickson""","National Museum of New Zealand Records number [1] ""16"" pages [1] ""271--279""",,"Birds and seals of the Balleny Islands, Antarctica",,,,,1980,article,
" ""Cesar Garcia Esponda"" ""Néstor R. Coria"" ""Diego Montalti""","Marine Ornithology number [1] ""1"" pages [1] ""59--62""",,"Breeding birds at Halfmoon Island, South Shetland Islands, Antarctica, 1995/96",,,,http://www.marineornithology.org/PDF/28_1/28_1_9.pdf,2000,article,
" ""Christian Pfeifer"" ""Andrés Barbosa"" ""Osama Mustafa"" ""Hans-Ulrich Peter"" ""Marie-Charlott Rümmler"" [6] ""Alexander Brenning""","Drones number [1] ""2"" pages [1] ""39""",10.3390/drones3020039,"Using fixed-wing UAV for detecting and mapping the distribution and abundance of penguins on the South Shetlands Islands, Antarctica",,,,https://doi.org/10.3390/drones3020039,2019,article,
" ""Christophe Barbraud"" ""Karine C. Delord"" ""Charles-André Bost"" ""Adrien Chaigne"" ""Cédric Marteau"" ""Henri Weimerskirch""","Polar Biology pages [1] ""835--850""",10.1007/s00300-020-02691-6,Population trends of penguins in the French Southern Territories,,,,https://doi.org/10.1007/s00300-020-02691-6,2020,article,
